epoch,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0,,,,,,0.03125,0.006191950291395187,3.275023937225342,0.003289473708719015,0.05263157933950424,,,,,
0,1,,,,,,0.03125,0.011363636702299118,3.249260187149048,0.0062500000931322575,0.0625,,,,,
0,2,,,,,,0.0625,0.0235294122248888,3.2189972400665283,0.016806723549962044,0.03921568766236305,,,,,
0,3,,,,,,0.0625,0.020202022045850754,3.2582569122314453,0.011250000447034836,0.10000000149011612,,,,,
0,4,,,,,,0.0625,0.018853696063160896,3.2671236991882324,0.011883541941642761,0.04901960864663124,,,,,
0,5,,,,,,0.0625,0.01598401740193367,3.240534782409668,0.008730159141123295,0.095238097012043,,,,,
0,6,,,,,,0.125,0.045601457357406616,3.2755250930786133,0.02899584174156189,0.11764705926179886,,,,,
0,7,,,,,,0.0,0.0,3.2639198303222656,0.0,0.0,,,,,
0,8,,,,,,0.09375,0.05742297321557999,3.2713444232940674,0.046078432351350784,0.11764705926179886,,,,,
0,9,,,,,,0.0625,0.03787878900766373,3.251356601715088,0.03333333507180214,0.0833333358168602,,,,,
0,10,,,,,,0.0625,0.03632478788495064,3.2684805393218994,0.06018518656492233,0.07407407462596893,,,,,
0,11,,,,,,0.09375,0.0436507947742939,3.257420063018799,0.03494124859571457,0.1190476268529892,,,,,
0,12,,,,,,0.03125,0.015625,3.2026028633117676,0.010416666977107525,0.03125,,,,,
0,13,,,,,,0.125,0.029411766678094864,3.1995434761047363,0.02018454484641552,0.07352941483259201,,,,,
0,14,,,,,,0.125,0.0473557710647583,3.2000513076782227,0.0329861119389534,0.11874999850988388,,,,,
0,15,,,,,,0.09375,0.02538461610674858,3.265326976776123,0.014646464958786964,0.10000000149011612,,,,,
0,16,,,,,,0.15625,0.08627451211214066,3.2090554237365723,0.07609710842370987,0.1568627506494522,,,,,
0,17,,,,,,0.0625,0.017666544765233994,3.2443106174468994,0.009649123065173626,0.10526315867900848,,,,,
0,18,,,,,,0.125,0.031111110001802444,3.217042922973633,0.01964285783469677,0.07500000298023224,,,,,
0,19,,,,,,0.09375,0.027485381811857224,3.2036244869232178,0.017226891592144966,0.07500000298023224,,,,,
